Date,AAPL,ADBE,AMD,AMZN,AVGO,AXP,BAC,BKNG,BLK,BMY,CB,CMCSA,CMG,CRM,CSCO,DHR,DIS,EA,GILD,GOOG,GOOGL,GS,HD,INTC,JNJ,JPM,LLY,LOW,LYV,MCD,MCK,MRK,MS,MSFT,NFLX,NKE,NVDA,PFE,SBUX,SCHW,SPGI,T,TJX,TMO,TMUS,TSLA,TXN,UNH,V,VZ
2010-10-18,9.546393394470215,28.059999465942383,6.960000038146973,8.178000450134277,1.6049476861953735,32.03413772583008,9.640484809875488,348.730712890625,119.81673431396484,16.438413619995117,44.48181915283203,6.854428768157959,3.673799991607666,26.132606506347656,15.156972885131836,16.981229782104492,29.77195930480957,15.34742259979248,13.126612663269043,15.28051471710205,15.352320671081543,117.43631744384766,21.461666107177734,12.709125518798828,41.22140884399414,25.54995346069336,26.041170120239258,16.0786075592041,9.819999694824219,51.48633575439453,55.7621955871582,21.589187622070312,18.172134399414062,19.61446189880371,21.85714340209961,16.87541389465332,0.26039552688598633,9.232892036437988,10.38339900970459,12.396093368530273,27.951087951660156,7.4255571365356445,9.266712188720703,46.90321731567383,17.44004249572754,1.348667025566101,19.123321533203125,28.7210750579834,17.58195686340332,15.281501770019531
2010-10-19,9.290925025939941,27.579999923706055,6.949999809265137,7.933499813079834,1.5802462100982666,31.83975601196289,9.218616485595703,340.59796142578125,118.54727935791016,16.143688201904297,43.75273132324219,6.890486717224121,3.637200117111206,25.63780975341797,14.942306518554688,16.673730850219727,29.33502197265625,15.16251277923584,12.84338092803955,15.03610897064209,15.106766700744629,119.74380493164062,21.377307891845703,12.722368240356445,40.853485107421875,25.208839416503906,25.623802185058594,16.0786075592041,9.65999984741211,51.2665901184082,54.506404876708984,21.17746353149414,18.16498565673828,19.067502975463867,21.332857131958008,16.683238983154297,0.25879085063934326,9.020220756530762,10.280890464782715,12.238972663879395,27.534029006958008,7.319181442260742,9.13550090789795,45.41527557373047,16.95738983154297,1.3366669416427612,18.900802612304688,27.9683837890625,17.40020751953125,15.079875946044922
2010-10-20,9.3221435546875,28.209999084472656,6.820000171661377,7.933499813079834,1.5597790479660034,32.179935455322266,9.179553031921387,342.6286926269531,115.07157135009766,16.173765182495117,44.60700988769531,6.987840175628662,3.615000009536743,25.83573341369629,15.222024917602539,16.82748794555664,29.66058349609375,14.98733901977539,13.423835754394531,15.039819717407227,15.110496520996094,121.94428253173828,21.602258682250977,13.007152557373047,41.053592681884766,25.48307228088379,24.638532638549805,16.53690528869629,9.529999732971191,51.54625701904297,54.3995361328125,21.450010299682617,18.1578311920166,19.22702407836914,21.878570556640625,16.788616180419922,0.25879085063934326,9.160272598266602,10.42136287689209,12.30512809753418,28.352420806884766,7.422963619232178,9.217506408691406,46.30614471435547,17.19871711730957,1.3766670227050781,18.941259384155273,29.101381301879883,17.842220306396484,15.304944038391113
2010-10-21,9.291825294494629,27.700000762939453,6.889999866485596,8.248499870300293,1.5491918325424194,32.61731719970703,8.874872207641602,338.8136901855469,112.86531066894531,16.306089401245117,44.5039176940918,7.0347113609313965,3.5850000381469727,26.050968170166016,15.130943298339844,17.547679901123047,29.711986541748047,15.152780532836914,13.672094345092773,15.139017105102539,15.210160255432129,121.71504974365234,22.36146354675293,13.08662223815918,41.305328369140625,25.215530395507812,24.289587020874023,16.842435836791992,9.539999961853027,52.23212814331055,54.60438537597656,21.513805389404297,17.59977912902832,19.310596466064453,24.670000076293945,16.96841812133789,0.2542065680027008,9.144708633422852,10.360617637634277,12.30512809753418,28.5884952545166,7.352909088134766,9.197006225585938,47.083282470703125,16.828678131103516,1.3833329677581787,19.028921127319336,28.911222457885742,17.770431518554688,15.248673439025879
2010-10-22,9.23028564453125,28.209999084472656,6.889999866485596,8.456500053405762,1.5865979194641113,31.612939834594727,8.937369346618652,358.33221435546875,113.74776458740234,16.21587371826172,44.467098236083984,7.016687870025635,4.1153998374938965,26.704097747802734,15.274063110351562,17.470792770385742,29.960447311401367,15.191709518432617,13.675597190856934,15.152375221252441,15.223579406738281,120.53836822509766,22.129491806030273,13.139603614807129,41.189144134521484,25.215530395507812,24.221168518066406,16.80425453186035,9.630000114440918,52.305362701416016,54.3995361328125,21.513805389404297,17.542545318603516,19.280202865600586,24.014286041259766,16.92914581298828,0.2704812288284302,9.077280044555664,10.81619644165039,12.387824058532715,28.643583297729492,7.339937686920166,9.197006225585938,47.0643310546875,17.07000732421875,1.3813329935073853,19.32560920715332,29.521299362182617,17.790613174438477,15.047051429748535
2010-10-25,9.271413803100586,28.200000762939453,7.260000228881836,8.449999809265137,1.6134183406829834,31.831653594970703,8.718623161315918,366.6423645019531,114.31122589111328,16.3361759185791,44.71747970581055,7.128460884094238,4.11299991607666,27.844600677490234,15.35863208770752,17.341325759887695,30.380247116088867,15.201440811157227,13.82595157623291,15.25058364868164,15.322249412536621,120.25566864013672,22.073246002197266,13.159473419189453,41.29887008666992,24.794158935546875,24.036420822143555,16.697315216064453,9.550000190734863,52.40525817871094,54.933895111083984,21.69936180114746,17.442386627197266,19.135866165161133,23.834285736083984,16.956010818481445,0.2730026841163635,9.1395263671875,10.778233528137207,12.404362678527832,28.769489288330078,7.358100414276123,9.367169380187988,47.60451889038086,16.94129753112793,1.3899999856948853,19.54138946533203,29.75899314880371,18.091276168823242,15.168964385986328
2010-10-26,9.247701644897461,28.139999389648438,7.199999809265137,8.4975004196167,1.6529415845870972,32.4796142578125,8.827993392944336,369.1167297363281,114.46741485595703,16.155725479125977,45.115169525146484,7.081589698791504,4.257199764251709,27.67389678955078,15.222024917602539,17.385831832885742,30.808622360229492,15.386351585388184,13.850431442260742,15.302530288696289,15.374441146850586,120.94335174560547,21.99592399597168,13.272062301635742,41.20849609375,24.881107330322266,23.879058837890625,16.590375900268555,9.75,52.445213317871094,55.138755798339844,21.49640464782715,17.30645751953125,19.675228118896484,25.374286651611328,16.90848159790039,0.2720857858657837,9.072092056274414,10.83138370513916,12.445712089538574,29.367536544799805,7.345126152038574,9.453278541564941,47.68983840942383,17.00565528869629,1.4240000247955322,19.47395896911621,29.766910552978516,17.956655502319336,15.239296913146973
2010-10-27,9.241093635559082,28.170000076293945,7.349999904632568,8.375499725341797,1.672703742980957,32.94942855834961,9.015494346618652,367.20428466796875,114.38594818115234,16.161739349365234,44.51863479614258,7.308747291564941,4.245999813079834,28.465564727783203,15.150460243225098,17.35346794128418,30.774349212646484,15.366886138916016,13.797982215881348,15.24984073638916,15.321503639221191,122.36450958251953,21.72176742553711,13.371402740478516,41.03421401977539,25.108522415161133,23.90642547607422,16.39178466796875,9.649999618530273,51.59288024902344,58.24705123901367,21.142675399780273,17.492856979370117,19.789175033569336,25.5,16.74522590637207,0.275982528924942,8.963164329528809,10.72887897491455,12.834382057189941,29.391138076782227,7.35550594329834,9.488126754760742,48.628082275390625,16.555171966552734,1.399999976158142,19.851573944091797,28.467527389526367,17.93197250366211,15.243983268737793
2010-10-28,9.163339614868164,28.100000381469727,7.630000114440918,8.342000007629395,1.653647541999817,33.38679122924805,9.007682800292969,362.3541564941406,114.13477325439453,16.233919143676758,43.95893859863281,7.521481037139893,4.208399772644043,28.450721740722656,15.085411071777344,17.426294326782227,31.27983856201172,15.211174011230469,13.937848091125488,15.302035331726074,15.373945236206055,124.72549438476562,21.925626754760742,13.556841850280762,41.027767181396484,25.08844757080078,24.05011749267578,16.330671310424805,9.640000343322754,51.59288024902344,57.917518615722656,21.421018600463867,17.8226375579834,19.963905334472656,25.100000381469727,16.761764526367188,0.2762117385864258,9.113585472106934,10.717488288879395,12.768221855163574,29.532793045043945,7.394423961639404,9.520934104919434,48.315330505371094,16.619529724121094,1.4126670360565186,19.80415916442871,28.7210750579834,17.153392791748047,15.197098731994629
2010-10-29,9.035452842712402,28.149999618530273,7.340000152587891,8.261500358581543,1.7418699264526367,33.5811882019043,8.945180892944336,371.4529724121094,116.07627868652344,16.179784774780273,43.760093688964844,7.438549995422363,4.20419979095459,28.715438842773438,14.870745658874512,17.543630599975586,30.954267501831055,15.405814170837402,13.871406555175781,15.181317329406738,15.252657890319824,123.11331939697266,21.72176742553711,13.278681755065918,41.14395523071289,25.168710708618164,24.084321975708008,16.30011749267578,9.489999771118164,51.785972595214844,58.76361846923828,21.055692672729492,17.829801559448242,20.260168075561523,24.795713424682617,16.829952239990234,0.27552422881126404,9.035781860351562,10.842772483825684,12.74341106414795,29.627222061157227,7.399609088897705,9.408172607421875,48.732330322265625,16.732147216796875,1.4559999704360962,20.027667999267578,28.5626163482666,17.537073135375977,15.229920387268066
